Product_ID,Product_Name,Location,GTIN,Status
12907558,PN Schnittlauch Bund,CH-Z-034-04-1,4260046983507,SUCCESS
12907558,PN Schnittlauch Bund,CH-Z-034-04-1,4260046983507,SUCCESS
12231169,PN Avocado 1 Stück,CH-D-014-01-3,4311532235126,SUCCESS
10072958,MeinLand Petersilie glatt 40g,No pick location,4313705382033,SUCCESS
10045834,MeinLand Zucchini 1 Stück,No pick location,4900000000399,SUCCESS
13492181,PN Grenadilla 1 Stück,CH-C-054-13-3,4260237851974,SUCCESS
10073969,MeinLand Kopfsalat mit Wurzelballen 1 Stück,CH-Z-042-10-2,4900000000511,SUCCESS
11126907,PN Mini Wassermelone ganz 1 Stück,CH-Z-040-04-3,8712294014176,SUCCESS
11845082,MeinLand Spaghetti Kürbis 1 Stück,No pick location,4250036706063,SUCCESS
11683217,PN Bio Demeter Knoblauch trocken 150g Netz,CH-D-018-12-1,8033874786789,SUCCESS
10073969,MeinLand Kopfsalat mit Wurzelballen 1 Stück,CH-Z-042-10-2,4900000000511,SUCCESS
12148772,PN Mini Kiwis 125g,No pick location,3573094667123,SUCCESS
10073007,Edeka Zitrone 1 Stück,CH-D-014-01-1,4311527083077,SUCCESS
12852125,Edeka Bio Bio Zitrone 1 Stück,No pick location,4311527286904,SUCCESS
12874924,PN Frisee Salat 1 Stück,No pick location,4250132401381,SUCCESS
12908429,Zespri Bio Kiwi 1 Stück,No pick location,94009552,SUCCESS
13478201,Mein Land Bio Porree 1 Bund mind. 430g,No pick location,4313705999804,SUCCESS
10073969,MeinLand Kopfsalat mit Wurzelballen 1 Stück,CH-Z-042-10-2,4250036707237,SUCCESS
10075252,PN Endivien Salat 1 Stück,CH-D-018-07-1,4011411040871,SUCCESS
13480988,MeinLand Kraussalat 1 Stück,No pick location,4900000005547,SUCCESS
11683214,PN Bio Pfirsiche gelb 500g,No pick location,8436529571752,SUCCESS
11696041,PN Bio Demeter Äpfel Pinova 550g,No pick location,4311532134788,SUCCESS
13465512,PN Plattnektarinen gelb 500g,No pick location,8436530432295,SUCCESS
11683214,PN Bio Pfirsiche gelb 500g,No pick location,8436529571752,SUCCESS
12922114,Mein Land Porree 1 Stück,CH-D-063-05-3,4900000005479,SUCCESS
13465497,MeinLand Wirsing 900g,No pick location,4900000004823,SUCCESS
12926525,PN Wirsingkohl 1 Stück mind. 900g,CH-B-049-01-2,4900000004670,SUCCESS
12872477,EDEKA Selection Orangen 1kg,No pick location,4311532173855,SUCCESS
